el,A,Z_+,state,ME_keV,ME_unc_keV,Ex_keV,Ex_unc_keV,Ex_origin,t_1_2,t_1_2_unit,t_1_2_unc,JP,T,ensdf,ref,yr,decay,extrapol,Z,N,mass_prec,isolde_yields,isolde_yields_log
130Sb,130,513,p,-80778.0,14.0,1508.0,1.0,,600,ns,15,(11+),,,,2019,IT=100,False,51,79,1.1460537185342514e-07,,
130Sb,130,514,q,-80741.0,14.0,1544.7,0.5,,1.25,us,0.01,(13+),,,,2002,IT=100,False,51,79,1.1460540656575541e-07,,
130Te,130,520,,-87352.96,0.011,,,,791,Ey,21,0+,,1.0,,1924,IS=34.08 62;2B-=100,False,52,78,9.004318478477359e-11,,
130Te,130,521,m,-85206.55,0.04,2146.41,0.04,,186,ns,11,7-,,1.0,,1972,IT=100,False,52,78,3.274355158835989e-10,,
130Te,130,522,n,-84685.8,0.8,2667.2,0.8,,1.90,us,0.08,(10+),,1.0,,1998,IT=100,False,52,78,6.548738233640671e-09,,
130Te,130,523,p,-82979.1,0.9,4373.9,0.9,,53,ns,8,(15-),,1.0,,1998,IT=100,False,52,78,7.367433442627945e-09,,
130I,130,530,,-86936.0,3.0,,,,12.36,h,0.01,5+*,,1.0,,1938,B-=100,False,53,77,2.4557576020475223e-08,1.50e+5,11.918390573078392
130I,130,531,m,-86896.0,3.0,39.9525,0.0013,,8.84,m,0.06,2+,,1.0,,1966,IT=84 2;B-=16 2,False,53,77,2.4557584061471722e-08,1.50e+5,11.918390573078392
130I,130,532,n,-86866.0,3.0,69.5865,0.0007,,133,ns,7,6-,,1.0,,1989,IT=100,False,53,77,2.455759009222255e-08,1.50e+5,11.918390573078392
130I,130,533,p,-86854.0,3.0,82.396,0.0019,,315,ns,15,(8-),,1.0,,1989,IT=100,False,53,77,2.4557592504523713e-08,1.50e+5,11.918390573078392
130I,130,534,q,-86851.0,3.0,85.1099,0.001,,254,ns,4,6-,,1.0,,1975,IT=100,False,53,77,2.4557593107599078e-08,1.50e+5,11.918390573078392
130Xe,130,540,,-89880.474,0.009,,,,stbl,,,0+,,1.0,,1922,IS=4.071 22,False,54,76,7.367173231339919e-11,6.60e+9,22.61033548597879
130Cs,130,550,,-86900.0,8.0,,,,29.21,m,0.04,1+*,,1.0,,1952,B+=98.4;B-=1.6,False,55,75,6.548827534017984e-08,5.90e+10,24.80080328085213
130Cs,130,551,m,-86737.0,8.0,163.25,0.11,,3.46,m,0.06,5-*,,1.0,,1977,IT~100;B+=0.16 2,False,55,75,6.54883627228484e-08,5.90e+10,24.80080328085213
130Ba,130,560,,-87256.78,0.29,,,,stbl,,~1Zy,0+,,1.0,,1936,IS=0.11 1;2B+ ?,False,56,74,2.373968181464328e-09,3.20e+10,24.18900173974614
130Ba,130,561,m,-84781.7,0.3,2475.12,0.18,,9.54,ms,0.14,8-,,1.0,,1969,IT=100,False,56,74,2.4558789124042822e-09,3.20e+10,24.18900173974614
130La,130,570,,-81627.0,26.0,,,,8.7,m,0.1,3(+),,1.0,,1961,B+=100,False,57,73,2.1285058955309163e-07,,
130La,130,571,m,-81413.0,26.0,214.0,0.5,,742,ns,28,(5+),,,,2012,IT=100,False,57,73,2.128509624518189e-07,,
130Ce,130,580,,-79423.0,28.0,,,,22.9,m,0.5,0+,,1.0,,1965,B+=100,False,58,72,2.2923027494710347e-07,,
130Ce,130,581,m,-76969.0,28.0,2453.6,0.3,,100,ns,8,7-,,1.0,,1999,IT=100,False,58,72,2.2923488036668206e-07,,
130Pr,130,590,,-71180.0,60.0,,,,40.0,s,0.4,"(6,7)(+.0",),1.0,,1977,B+=100,False,59,71,4.912460845953831e-07,,
130Pr,130,591,m,-71080.0,120.0,100.0,100.0,,10.0,s,,2+.0,,1.0,,1988,B+ ?,True,59,71,9.82492973600477e-07,,
130Nd,130,600,,-66596.0,28.0,,,,21,s,3,0+,,1.0,,1977,B+=100,False,60,70,2.2925920482719845e-07,,
130Pm,130,610,,-55470.0,200.0,,,,2.6,s,0.2,"(5+,6+,4",+),1.0,,1985,B+=100;B+p=?,True,61,69,1.6377322854488041e-06,,
130Sm,130,620,,-47700.0,400.0,,,,1.0,s,,0+,,1.0,,1999,B+ ?,True,62,68,3.275707682653703e-06,,
130Eu,130,630,,-33510.0,540.0,,,,1.0,ms,0.4,(1+),,8.0,,2004,p~100;B+ ?;B+p ?,True,63,67,4.422766165846471e-06,,
131Pd,131,460,,-25740.0,300.0,,,,20.0,ms,>550ns,7/2-.0,,,,2018,B- ?;B-n ?;B-2n ?,True,46,85,2.4380468563566436e-06,,
131Ag,131,470,,-40750.0,500.0,,,,35,ms,8,9/2+.0,,15.0,,2013,B-=100;B-n ?;B-2n=10,True,47,84,4.062958517378536e-06,,
131Cd,131,480,,-55212.0,19.0,,,,98,ms,2,7/2-.0,,6.0,,2000,B-=100;B-n=3.5 10;B-2n ?,False,48,83,1.5437590428069886e-07,1.00e+3,6.907755278982137
131In,131,490,,-68024.4,2.2,,,,261.5,ms,2.8,9/2+,,6.0,,1976,B-=100;B-n=2.25 21,False,49,82,1.7873431878562345e-08,5.00e+5,13.122363377404328
131In,131,491,m,-67648.4,2.5,376.0,3.0,MD,328,ms,15,1/2-,,6.0,,1984,B-=100;B-n=2.25 21;IT ?,False,49,82,2.0310780087810597e-08,5.00e+5,13.122363377404328
131In,131,492,n,-64280.0,90.0,3750.0,90.0,BD,322,ms,41,(21/2+),,6.0,,1984,B-=100;B-n=12 7;IT ?,False,49,82,7.31208093352624e-07,5.00e+5,13.122363377404328
131In,131,493,p,-64240.8,2.3,3783.6,0.5,,669,ns,34,(17/2+),,,,2009,IT=100,False,49,82,1.8686435003633307e-08,5.00e+5,13.122363377404328
131Sn,131,500,,-77265.0,4.0,,,,56.0,s,0.5,3/2+*,,6.0,,1963,B-=100,False,50,81,3.249505079840362e-08,1.50e+7,16.523560759066484
131Sn,131,501,m,-77200.0,4.0,65.1,0.3,,58.4,s,0.5,11/2-*,,6.0,,1977,B-=100;IT ?,False,50,81,3.249506795724798e-08,1.50e+7,16.523560759066484
131Sn,131,502,n,-72595.0,4.0,4670.0,0.4,,316,ns,5,(23/2-),,6.0,,2001,IT=100,False,50,81,3.249628364149624e-08,1.50e+7,16.523560759066484
131Sb,131,510,,-81981.4,2.1,,,,23.03,m,0.04,7/2+,,6.0,,1956,B-=100,False,51,80,1.7059427277380322e-08,3.20e+9,21.886416646752092
131Sb,131,511,m,-80305.3,2.1,1676.06,0.06,,64.2,us,2.6,15/2-,,6.0,,1969,IT=100,False,51,80,1.7059659559317017e-08,3.20e+9,21.886416646752092
131Sb,131,512,n,-80294.2,2.3,1687.2,0.9,,4.3,us,0.8,19/2-,,6.0,,2000,IT=100,False,51,80,1.8684390725974693e-08,3.20e+9,21.886416646752092
131Sb,131,513,p,-79815.8,2.6,2165.6,1.5,,0.97,us,0.03,23/2+,,6.0,,2000,IT=100,False,51,80,2.1121567254365125e-08,3.20e+9,21.886416646752092
131Te,131,520,,-85211.02,0.06,,,,25.0,m,0.1,3/2+,,6.0,,1939,B-=100,False,52,79,4.874045412935206e-10,1.00e+8,18.420680743952367
131Te,131,521,m,-85028.76,0.06,182.258,0.018,,32.48,h,0.11,11/2-,,6.0,,1940,B-=74.1 5;IT=25.9 5,False,52,79,4.874052629323631e-10,1.00e+8,18.420680743952367
131Te,131,522,n,-83271.0,0.4,1940.0,0.4,,93,ms,12,(23/2+),,6.0,,1998,IT=100,False,52,79,3.249414818023154e-09,1.00e+8,18.420680743952367
131I,131,530,,-87442.7,0.6,,,,8.0249,d,0.0006,7/2+*,,6.0,,1939,B-=100,False,53,78,4.874008260409112e-09,,
131I,131,531,m,-85524.3,0.7,1918.4,0.4,,24,us,1,19/2-,,,,2009,IT=100,False,53,78,5.686431586855211e-09,,
131Xe,131,540,,-88413.575,0.005,,,,stbl,,,3/2+*,,6.0,,1920,IS=21.232 51,False,54,77,4.061684189650774e-11,9.80e+8,20.70306312962889
131Xe,131,541,m,-88249.645,0.009,163.93,0.008,,11.948,d,0.012,11/2-*,,6.0,,1966,IT=100,False,54,77,7.311041277220244e-11,9.80e+8,20.70306312962889
131Cs,131,550,,-88055.57,0.18,,,,9.689,d,0.016,5/2+*,,6.0,,1947,EC=100,False,55,76,1.462225923189424e-09,5.00e+10,24.635288842374557
131Ba,131,560,,-86679.0,0.4,,,,11.52,d,0.01,1/2+*,,6.0,,1947,B+=100,False,56,75,3.2494614176365785e-09,8.90e+9,22.909317113684505
131Ba,131,561,m,-86491.0,0.4,187.995,0.009,,14.26,m,0.09,9/2-*,,6.0,,1963,IT=100,False,56,75,3.249466380373925e-09,8.90e+9,22.909317113684505
131La,131,570,,-83769.0,28.0,,,,59,m,2,3/2+*,,6.0,,1951,B+=100,False,57,74,2.274700665220393e-07,,
131La,131,571,m,-83464.0,28.0,304.6,0.24,,170,us,7,11/2-,,6.0,,1966,IT=100,False,57,74,2.2747063014852532e-07,,
131Ce,131,580,,-79710.0,30.0,,,,10.3,m,0.3,7/2+,,6.0,,1966,B+=100,False,58,73,2.437285262150072e-07,,
131Ce,131,581,m,-79650.0,30.0,63.09,0.09,,5.4,m,0.4,(1/2+),,6.0,,1966,B+=100,False,58,73,2.4372864502225413e-07,,
131Pr,131,590,,-74300.0,50.0,,,,1.50,m,0.03,(3/2+),,6.0,,1977,B+=100,False,59,72,4.0623633389859126e-07,,
131Pr,131,591,m,-74150.0,50.0,152.4,0.3,,5.73,s,0.20,(11/2-),,6.0,,1996,IT=96.4 12;B+=3.6 12,False,59,72,4.0623682898307157e-07,,
131Nd,131,600,,-67768.0,28.0,,,,25.4,s,0.9,(5/2+),,6.0,,1977,B+=100;B+p=?,False,60,71,2.2750681156748066e-07,,
131Pm,131,610,,-59770.0,200.0,,,,6.3,s,0.8,(11/2-),,6.0,,1998,B+=100,True,61,70,1.625171345284593e-06,,
131Sm,131,620,,-50280.0,400.0,,,,1.2,s,0.2,5/2+.0,,6.0,,1986,B+=100;B+p=?,True,62,69,3.25062752294996e-06,,
131Eu,131,630,,-39460.0,400.0,,,,17.8,ms,1.9,3/2+,,6.0,,1998,p=89 9;B+ ?;B+p ?,True,63,68,3.2509475456701518e-06,,
132Ag,132,470,,-34400.0,500.0,,,,30,ms,14,6-.0,,15.0,,2015,B-=100;B-n ?;B-2n ?,True,47,85,4.0323800476638255e-06,,
132Cd,132,480,,-50470.0,60.0,,,,84,ms,5,0+,,18.0,,2000,B-=100;B-n=60 15;B-2n ?,False,48,84,4.838279478078769e-07,1.00e+1,2.302585092994046
132In,132,490,,-62410.0,60.0,,,,202.2,ms,0.2,(7-),,18.0,,1973,B-=100;B-n=12.3 4;B-2n ?,False,49,83,4.837864134916326e-07,1.00e+5,11.512925464970229
132Sn,132,500,,-76546.6,2.0,,,,39.7,s,0.8,0+,,18.0,,1963,B-=100,False,50,82,1.6124543979461315e-08,3.00e+8,19.519293032620475
132Sn,132,501,m,-71698.1,2.0,4848.52,0.2,,2.080,us,0.016,8+,,18.0,,1986,IT=100,False,50,82,1.6125174311327724e-08,3.00e+8,19.519293032620475
132Sb,132,510,,-79635.3,2.5,,,,2.79,m,0.07,(4)+,,18.0,,1956,B-=100,False,51,81,2.0155388230277357e-08,1.00e+8,18.420680743952367
132Sb,132,511,m,-79490.0,50.0,150.0,50.0,,4.10,m,0.05,(8-),,18.0,,1956,B-=100,True,51,81,4.031082368190982e-07,1.00e+8,18.420680743952367
132Sb,132,512,n,-79380.8,2.5,254.5,0.3,,102,ns,4,(6-),,18.0,,1974,IT=100,False,51,81,2.0155429585561095e-08,1.00e+8,18.420680743952367
132Te,132,520,,-85188.0,3.0,,,,3.204,d,0.013,0+,,5.0,,1948,B-=100,False,52,80,2.4185635349273075e-08,7.00e+8,20.36659089300768
132Te,132,521,m,-83413.0,3.0,1774.8,0.09,,145,ns,8,6+,,5.0,,1973,IT=100,False,52,80,2.418598144665871e-08,7.00e+8,20.36659089300768
132Te,132,522,n,-83263.0,3.0,1925.47,0.09,,28.5,us,0.9,7-,,5.0,,1979,IT=100,False,52,80,2.418601069477901e-08,7.00e+8,20.36659089300768
132Te,132,523,p,-82465.0,3.0,2723.3,0.8,,3.62,us,0.06,(10+),,5.0,,1979,IT=100,False,52,80,2.418616629596821e-08,7.00e+8,20.36659089300768
132I,132,530,,-85704.0,4.0,,,,2.295,h,0.013,4+*,,5.0,,1948,B-=100,False,53,79,3.224771588769458e-08,2.70e+8,19.41393251696265
132I,132,531,m,-85594.0,10.0,110.0,11.0,BD,1.387,h,0.015,(8-),,5.0,,1973,IT=86 2;B-=14 2,False,53,79,8.061936121346848e-08,2.70e+8,19.41393251696265
132Xe,132,540,,-89278.975,0.005,,,,stbl,,,0+,,5.0,,1920,IS=26.909 55,False,54,78,4.030890339987678e-11,1.80e+9,21.31105250184853
132Xe,132,541,m,-86526.77,0.17,2752.21,0.17,,8.39,ms,0.11,(10+),,5.0,,1976,IT=100,False,54,78,1.3705331245367453e-09,1.80e+9,21.31105250184853
132Cs,132,550,,-87152.7,1.0,,,,6.480,d,0.006,2+*,,5.0,,1953,B+=98.13 9;B-=1.87 9,False,55,77,8.062002934276352e-09,3.90e+10,24.386827483076058
132Ba,132,560,,-88434.9,1.1,,,,stbl,,>300Ey,0+,,5.0,,1936,IS=0.10 1;2B+ ?,False,56,76,8.868204023617486e-09,5.00e+10,24.635288842374557
132La,132,570,,-83720.0,40.0,,,,4.59,h,0.04,2-*,,5.0,,1951,B+=100,False,57,75,3.224957674895296e-07,,
132La,132,571,m,-83530.0,40.0,188.2,0.11,,24.3,m,0.5,6-*,,5.0,,1969,IT=76;B+=24,False,57,75,3.224962615070066e-07,,
132Ce,132,580,,-82469.0,20.0,,,,3.51,h,0.11,0+,,5.0,,1960,B+=100,False,58,74,1.6125119155663948e-07,,
132Ce,132,581,m,-80128.0,20.0,2341.15,0.21,,9.4,ms,0.3,8-,,5.0,,1969,IT=100,False,58,74,1.612542351419559e-07,,
132Pr,132,590,,-75227.0,29.0,,,*,1.49,m,0.11,(2+),,5.0,,1974,B+=100,False,59,73,2.338303191706717e-07,,
132Pr,132,591,m,-75200.0,40.0,30.0,30.0,*,1.0,s,,(5+),,5.0,,1990,B+ ?;IT ?,True,59,73,3.225246483813789e-07,,
132Pr,132,592,n,-74980.0,40.0,250.0,30.0,,2.46,us,0.04,(8+),,,,2012,IT=100,True,59,73,3.2252522050421223e-07,,
132Pr,132,593,p,-74930.0,40.0,300.0,30.0,,486,ns,70,(8-),,,,2012,IT=100,True,59,73,3.22525350532412e-07,,
132Nd,132,600,,-71426.0,24.0,,,,1.56,m,0.10,0+,,5.0,,1977,B+=100,False,60,72,1.9352269607390983e-07,,
132Pm,132,610,,-61630.0,150.0,,,,6.2,s,0.6,(3+),,5.0,,1977,B+=100;B+p~5e-5,True,61,71,1.2096250129883504e-06,,
132Sm,132,620,,-55140.0,300.0,,,,4.0,s,0.3,0+,,5.0,,1989,B+=100;B+p ?,True,62,70,2.4194018823731095e-06,,
132Eu,132,630,,-42200.0,400.0,,,,100.0,ms,,1+.0,,5.0,,9999,B+ ?;B+p ?;p=0,True,63,69,3.226239507401397e-06,,
133Ag,133,470,,-29080.0,500.0,,,,,,,9/2+.0,,,,9999,B- ?;B-n ?,True,47,86,4.002225419570934e-06,,
133Cd,133,480,,-44140.0,200.0,,,,61,ms,6,7/2-.0,,11.0,,2010,B-=100;B-n=?;B-2n ?,True,48,85,1.600713777790956e-06,,
133In,133,490,,-57690.0,200.0,,,,163.0,ms,1.6,(9/2+),,11.0,,1996,B-=100;B-n=90 3;B-2n ?,True,49,84,1.6005567678395655e-06,1.10e+3,7.003065458786462
133In,133,491,m,-57360.0,200.0,330.0,40.0,,167,ms,11,(1/2-),,11.0,,1996,B-=100;B-n=93 3,True,49,84,1.6005609947909741e-06,1.10e+3,7.003065458786462
133Sn,133,500,,-70873.9,1.9,,,,1.37,s,0.07,7/2-*,,11.0,,1973,B-=100;B-n=0.0294 24,False,50,83,1.5203842532662788e-08,1.50e+7,16.523560759066484
133Sb,133,510,,-78924.0,3.0,,,,2.34,m,0.05,(7/2+),,11.0,,1966,B-=100,False,51,82,2.4004769271630097e-08,1.30e+7,16.38045991542581
133Sb,133,511,m,-74383.0,9.0,4541.0,9.0,,16.54,us,0.19,(21/2+),,11.0,,1978,IT=100,False,51,82,7.201692456562239e-08,1.30e+7,16.38045991542581
133Te,133,520,,-82937.1,2.1,,,,12.5,m,0.3,3/2+.0,,11.0,,1940,B-=100,False,52,81,1.6802972816035108e-08,6.60e+8,20.307750392984744
133Te,133,521,m,-82602.8,2.1,334.26,0.04,,55.4,m,0.4,(11/2-),,11.0,,1957,B-=83.5 20;IT=16.5 20,False,52,81,1.6803017761977737e-08,6.60e+8,20.307750392984744
133Te,133,522,n,-81326.7,2.2,1610.4,0.5,,100,ns,5,(19/2-),,11.0,,2001,IT=100,False,52,81,1.7603341206199654e-08,6.60e+8,20.307750392984744
133I,133,530,,-85857.0,6.0,,,,20.83,h,0.08,7/2+*,,11.0,,1940,B-=100,False,53,80,4.800786894518805e-08,6.00e+8,20.21244021318042
133I,133,531,m,-84223.0,6.0,1634.148,0.01,,9,s,2,(19/2-),,11.0,,1970,IT=100,False,53,80,4.800849661513687e-08,6.00e+8,20.21244021318042
133I,133,532,n,-84128.0,6.0,1729.137,0.01,,~170,ns,,(15/2-),,11.0,,1984,IT=100,False,53,80,4.80085331080806e-08,6.00e+8,20.21244021318042
133I,133,533,p,-83363.0,6.0,2493.7,0.4,,469,ns,15,(23/2+),,11.0,,2009,IT=100,False,53,80,4.800882697433391e-08,6.00e+8,20.21244021318042
133Xe,133,540,,-87643.6,2.4,,,,5.2474,d,0.0005,3/2+*,,11.0,,1940,B-=100,False,54,79,1.920307178762124e-08,3.10e+8,19.552082855443466
133Xe,133,541,m,-87410.4,2.4,233.221,0.015,,2.198,d,0.013,11/2-*,,11.0,,1951,IT=100,False,54,79,1.9203107618670464e-08,3.10e+8,19.552082855443466
133Xe,133,542,n,-85497.0,20.0,2147.0,20.0,,8.64,ms,0.13,(23/2+),,11.0,,2017,IT=100,True,54,79,1.6002834680464214e-07,3.10e+8,19.552082855443466
133Cs,133,550,,-88070.943,0.008,,,,stbl,,,7/2+*,,11.0,,1921,IS=100,False,55,78,6.401068282358158e-11,2.80e+10,24.055470347121616
133Ba,133,560,,-87553.5,1.0,,,,10.5379,y,0.0016,1/2+*,,11.0,,1941,EC=100,False,56,77,8.00145128294202e-09,,
133Ba,133,561,m,-87265.2,1.0,288.252,0.009,,38.90,h,0.06,11/2-*,,11.0,,1941,IT=99.9896 4;EC=0.0104 5,False,56,77,8.001469740879684e-09,,
133La,133,570,,-85494.0,28.0,,,,3.912,h,0.008,5/2+*,,11.0,,1950,B+=100,False,57,76,2.2404664653934035e-07,,
133Ce,133,580,,-82418.0,16.0,,,,97,m,4,1/2+*,,11.0,,1951,B+=100,False,58,75,1.2803113138180962e-07,1.90e+6,14.457364444136669
133Ce,133,581,m,-82381.0,16.0,37.2,0.7,,5.1,h,0.3,9/2-*,,11.0,,1951,B+=100,False,58,75,1.2803116928825288e-07,1.90e+6,14.457364444136669
133Pr,133,590,,-77938.0,12.0,,,,6.5,m,0.3,5/2+*,,11.0,,1970,B+=100,False,59,74,9.60277848176006e-08,1.50e+7,16.523560759066484
133Pr,133,591,m,-77746.0,12.0,192.12,0.14,,1.1,s,0.2,(11/2-),,11.0,,1995,IT=100,False,59,74,9.60279323591946e-08,1.50e+7,16.523560759066484
133Nd,133,600,,-72330.0,50.0,,,,70,s,10,(7/2+),,11.0,,1977,B+=100,False,60,73,4.0013786834263497e-07,,
133Nd,133,601,m,-72200.0,50.0,127.97,0.12,,~70,s,,(1/2)+,,11.0,,1993,B+=?;IT=?,False,60,73,4.001382846298836e-07,,
133Nd,133,602,n,-72150.0,50.0,176.1,0.1,,301,ns,18,(9/2-),,11.0,,1993,IT=100,False,60,73,4.001384447405945e-07,,
133Pm,133,610,,-65410.0,50.0,,,,13.5,s,2.1,(3/2+),,11.0,,1977,B+=100,False,61,72,4.001641708558915e-07,,
133Pm,133,611,m,-65280.0,50.0,129.7,0.7,,8.0,s,,(11/2-),,11.0,,1996,B+ ?;IT ?,False,61,72,4.0016458719787015e-07,,
133Sm,133,620,,-57230.0,300.0,,,,2.89,s,0.16,(5/2+),,11.0,,1977,B+=100;B+p=?,True,62,71,2.4011670762535364e-06,,
133Sm,133,621,m,-57110.0,310.0,120.0,60.0,,3.5,s,0.4,(1/2-),,11.0,,1993,B+=?;IT ?;B+p ?,True,62,71,2.4812083619136523e-06,,
133Eu,133,630,,-47240.0,300.0,,,,200.0,ms,,5/2+.0,,,,9999,B+ ?;B+p ?,True,63,70,2.401383946567904e-06,,
133Gd,133,640,,-36060.0,500.0,,,,10.0,ms,,5/2+.0,,,,9999,B+ ?;B+p ?,True,64,69,4.0027062246151995e-06,,
134Cd,134,480,,-39460.0,300.0,,,,65,ms,15,0+,,15.0,,2015,B-=100;B-n ?;B-2n ?,True,48,86,2.3832382772543146e-06,,
134In,134,490,,-51970.0,200.0,,,,136,ms,4,7-.0,,4.0,,1996,B-=100;B-n~65;B-2n<4,True,49,85,1.5886839558819977e-06,9.50e+1,4.553876891600541
134In,134,491,m,-51910.0,200.0,56.7,0.1,,3.5,us,0.4,(5-),,,,2019,IT=100,True,49,85,1.5886847130573721e-06,9.50e+1,4.553876891600541
134Sn,134,500,,-66434.0,3.0,,,,0.93,s,0.08,0+,,4.0,,1974,B-=100;B-n=17 13,False,50,84,2.382776647392174e-08,2.00e+6,14.508657738524219
134Sn,134,501,m,-65187.0,3.0,1247.4,0.5,,87,ns,8,6+,,4.0,,2000,IT=100,False,50,84,2.382800247618639e-08,2.00e+6,14.508657738524219
134Sb,134,510,,-74019.0,3.0,,,,674,ms,4,(0-),,11.0,,1967,B-=100;B-n ?,False,51,83,2.3826575809199737e-08,6.00e+6,15.60727002719233
134Sb,134,511,m,-73740.0,3.0,279.0,1.0,,10.01,s,0.04,(7-),,11.0,,1968,B-=100;B-n=0.088 4,False,51,83,2.3826628605948202e-08,6.00e+6,15.60727002719233
134Te,134,520,,-82533.8,2.7,,,,41.8,m,0.8,0+,,4.0,,1948,B-=100,False,52,82,2.1442688398281253e-08,4.00e+8,19.806975105072254
134Te,134,521,m,-80842.5,2.7,1691.34,0.16,,164.5,ns,0.7,6+,,4.0,,1970,IT=100,False,52,82,2.144297641731376e-08,4.00e+8,19.806975105072254
134I,134,530,,-84043.0,5.0,,,,52.5,m,0.2,(4)+,,4.0,,1948,B-=100,False,53,81,3.97086141440246e-08,4.00e+8,19.806975105072254
134I,134,531,m,-83727.0,5.0,316.49,0.22,,3.52,m,0.04,(8)-,,4.0,,1970,IT=97.7 10;B-=2.3 10,False,53,81,3.970871379639384e-08,4.00e+8,19.806975105072254
134Xe,134,540,,-88125.834,0.006,,,,stbl,,>11Py,0+,,4.0,,1920,IS=10.436 35;2B- ?,False,54,80,4.764928137691155e-11,,
134Xe,134,541,m,-86160.3,0.5,1965.5,0.5,,290,ms,17,7-,,4.0,,1968,IT=100,False,54,80,3.970835430356848e-09,,
134Xe,134,542,n,-85100.6,1.5,3025.2,1.5,,5,us,1,(10+),,4.0,,2001,IT=100,False,54,80,1.1912606545049035e-08,,
134Cs,134,550,,-86891.165,0.016,,,,2.0650,y,0.0004,4+*,,4.0,,1940,B-=100;EC=0.00030 12,False,55,79,1.2706730137224135e-10,1.90e+10,23.667704816112852
134Cs,134,551,m,-86752.421,0.016,138.7441,0.0026,,2.912,h,0.002,8-*,,4.0,,1975,IT=100,False,55,79,1.2706744138329378e-10,1.90e+10,23.667704816112852
134Ba,134,560,,-88950.0,0.25,,,,stbl,,,0+,,4.0,,1936,IS=2.42 15,False,56,78,1.9854145138179023e-09,5.60e+10,24.74861752768156
134Ba,134,561,m,-85992.8,0.6,2957.2,0.5,,2.61,us,0.13,10+,,4.0,,1982,IT=100,False,56,78,4.765106742034082e-09,5.60e+10,24.74861752768156
134La,134,570,,-85219.0,20.0,,,,6.45,m,0.16,1+,,4.0,,1951,B+=100,False,57,77,1.5883949904439844e-07,,
134La,134,571,m,-84780.0,100.0,440.0,100.0,,29,us,4,(6-),,4.0,,1985,IT=100,True,57,77,7.9420026422266e-07,,
134Ce,134,580,,-84833.0,20.0,,,,3.16,d,0.04,0+,,4.0,,1951,EC=100,False,58,76,1.5884161754928837e-07,,
134Ce,134,581,m,-81624.0,20.0,3208.6,0.4,,308,ns,5,10+,,4.0,,1980,IT=100,False,58,76,1.5884566591177675e-07,,
134Pr,134,590,,-78528.0,20.0,,,,17,m,2,2-*,,4.0,,1967,B+=100,False,59,75,1.5885120367459225e-07,,
134Pr,134,591,m,-78460.0,20.0,67.7,0.4,,~11,m,,6-,,4.0,,1973,B+=100,False,59,75,1.5885128946923528e-07,,
134Nd,134,600,,-75646.0,12.0,,,,8.5,m,1.5,0+,,4.0,,1970,B+=100,False,60,74,9.531388308271907e-08,1.00e+7,16.11809565095832
134Nd,134,601,m,-73353.0,12.0,2293.0,0.4,,389,us,17,8-,,4.0,,1969,IT=100,False,60,74,9.53156190560324e-08,1.00e+7,16.11809565095832
134Pm,134,610,,-66760.0,40.0,,,*&,22,s,1,(5+),,4.0,,1977,B+=100,False,61,73,3.1773863361680336e-07,,
134Pm,134,611,m,-66710.0,60.0,50.0,50.0,*&,~5,s,,(2+),,4.0,,1988,B+=100,True,61,73,4.7660813972122886e-07,,
134Pm,134,612,n,-66640.0,60.0,120.0,50.0,,20,us,1,(7-),,,,2009,IT=100,True,61,73,4.766084047359149e-07,,
134Sm,134,620,,-61380.0,200.0,,,,9.5,s,0.8,0+,,4.0,,1977,B+=100,True,62,72,1.588777388200467e-06,,
134Eu,134,630,,-49800.0,300.0,,,,500,ms,200,,,4.0,,1989,B+=100;B+p=?,True,63,71,2.3834098200299837e-06,,
134Gd,134,640,,-41530.0,400.0,,,,400.0,ms,,0+,,4.0,,9999,B+ ?;B+p ?,True,64,70,3.1781212267016603e-06,,
135Cd,135,480,,-32820.0,400.0,,,,,,,5/2-.0,,,,9999,B- ?;B-n ?,True,48,87,3.1542738342567617e-06,,
135In,135,490,,-47110.0,300.0,,,,103,ms,3,9/2+.0,,16.0,,2002,B-=100;B-n= ?;B-2n ?,True,49,86,2.365462945021179e-06,2.40e+0,0.8754687373538999
135Sn,135,500,,-60632.0,3.0,,,,515,ms,5,7/2-.0,,16.0,,1994,B-=100;B-n=21 3;B-2n ?,False,50,85,2.365234885445495e-08,1.00e+5,11.512925464970229
135Sb,135,510,,-69690.3,2.6,,,,1.668,s,0.009,(7/2+),,16.0,,1964,B-=100;B-n=19.1 5,False,51,84,2.0497447488681794e-08,,
135Te,135,520,,-77728.8,1.7,,,,19.0,s,0.2,(7/2-),,8.0,,1969,B-=100,False,52,83,1.3401464562088163e-08,4.00e+6,15.201804919084164
135Te,135,521,m,-76173.9,1.7,1554.89,0.16,,511,ns,20,(19/2-),,8.0,,1980,IT=100,False,52,83,1.3401628834029726e-08,4.00e+6,15.201804919084164
135I,135,530,,-83779.2,2.1,,,,6.58,h,0.03,7/2+*,,8.0,,1940,B-=100,False,53,82,1.6554129545250003e-08,2.80e+9,21.75288525412757
135Xe,135,540,,-86413.0,4.0,,,,9.14,h,0.02,3/2+,,8.0,,1940,B-=100,False,54,81,3.153134213897522e-08,3.43e+9,21.95582609812426
135Xe,135,541,m,-85886.0,4.0,526.551,0.013,,15.29,m,0.05,11/2-*,,8.0,,1960,IT~100;B-=0.30 17,False,54,81,3.1531473128733895e-08,3.43e+9,21.95582609812426
